%  label: Fitness-sharing, 17/03/26 02-06-08
%  population_size: 2048
%  mutation_rate: 0.45
%  max_iterations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0.1
%  cuck_rate: 0.15
%  threads: 4
%  num_demes: 1
%  migration: 0.05
%  use_viscosity: true
%  outregs: [4, 5, 6]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd
%  fitness_sharing: true
%  fatal_crash: false

ITERATION,SEASON,AVG-GEN,AVG-FIT,AVG-ABFIT,MIN-FIT,MIN-ABFIT,CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
76,0,0.07763672,0.55053335,0.6652305,0.3200001,0.48,0.2,0,0.3200001,0.48,0,16.26416,13,0.93652344
77,0,0.07861328,0.54892594,0.6652522,0.3200001,0.48,0.1969697,0,0.3200001,0.48,0,16.270508,13,0.9355469
78,0,0.080566406,0.5473665,0.6652733,0.3200001,0.48,0.19402985,0,0.3200001,0.48,0,16.266602,13,0.9345703
79,0,0.08105469,0.5507193,0.6652836,0.3200001,0.48,0.2,0,0.3200001,0.48,0,16.265625,13,0.93408203
80,0,0.08203125,0.5491678,0.66530377,0.3200001,0.48,0.1970803,0,0.3200001,0.48,0,16.280273,13,0.93310547
81,0,0.083984375,0.5516292,0.6653233,0.3200001,0.48,0.20143884,0,0.3200001,0.48,0,16.285156,13,0.9321289
82,0,0.08496094,0.55784243,0.66534233,0.3200001,0.48,0.21276596,0,0.3200001,0.48,0,16.27832,13,0.93115234
83,0,0.0859375,0.5585718,0.6653608,0.3200001,0.48,0.21678321,0,0.3200001,0.48,0,16.285156,13,0.9301758
84,0,0.08691406,0.56082904,0.6653788,0.3200001,0.48,0.22068965,0,0.3200001,0.48,0,16.279785,13,0.9291992
85,0,0.087890625,0.56678987,0.6653963,0.3200001,0.48,0.23129252,0,0.3200001,0.48,0,16.274414,13,0.92822266
86,0,0.08886719,0.56596315,0.66540486,0.3200001,0.48,0.22972973,0,0.3200001,0.48,0,16.260254,13,0.9277344
