%  label: cazmud
%  ret_hooks: false
%  population_size: 2048
%  mutation_rate: 0.9
%  max_iterations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0.1
%  cuck_rate: 0.15
%  threads: 8
%  num_demes: 4
%  migration: 0.05
%  use_viscosity: false
%  outregs: [4, 5, 6]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd
%  fitness_sharing: false
%  fatal_crash: false

ITERATION,SEASON,AVG-GEN,AVG-FIT,AVG-ABFIT,MIN-FIT,MIN-ABFIT,CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,BEST-RUNTIME,UNSEEN,MEAN-DIF-C0,STD-DEV-C0,MEAN-DIF-C1,STD-DEV-C1,MEAN-DIF-C2,STD-DEV-C2
856,1,0.15478516,0.82267517,0.6610225,0.63,0.27,0.8866242,0,0.63,0.63,0,16.484375,19,0.34037408,0.6166992,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
864,1,0.1538086,0.82205886,0.66015494,0.63,0.27,0.885101,0,0.63,0.63,0,16.49414,19,0.34037408,0.61328125,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
872,1,0.15429688,0.82178676,0.660292,0.63,0.27,0.8833124,0,0.63,0.63,0,16.521484,19,0.34037408,0.61083984,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
880,1,0.15429688,0.8213231,0.6597396,0.63,0.27,0.88190955,0,0.63,0.63,0,16.525879,19,0.34037408,0.6113281,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
888,1,0.15673828,0.8212437,0.65982795,0.63,0.27,0.88095236,0,0.63,0.63,0,16.566406,19,0.34037408,0.61035156,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
896,1,0.15576172,0.820689,0.6588756,0.63,0.27,0.87969923,0,0.63,0.63,0,16.59082,19,0.34037408,0.61035156,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
904,1,0.15771484,0.81985754,0.6579133,0.63,0.27,0.8773467,0,0.63,0.63,0,16.620117,19,0.34037408,0.6098633,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
912,1,0.15771484,0.8193484,0.6572457,0.63,0.27,0.8757764,0,0.63,0.63,0,16.65039,19,0.34037408,0.6069336,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
920,1,0.1616211,0.8191817,0.6572671,0.63,0.27,0.8743781,0,0.63,0.63,0,16.691895,19,0.34037408,0.6074219,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
928,1,0.16113281,0.8185712,0.6561372,0.63,0.27,0.87360597,0,0.63,0.63,0,16.643066,19,0.34037408,0.60595703,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
936,1,0.16308594,0.8180699,0.6558295,0.63,0.27,0.8720497,0,0.63,0.63,0,16.615723,19,0.34037408,0.6069336,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
944,1,0.16503906,0.81797737,0.6554693,0.63,0.27,0.8720497,0,0.63,0.63,0,16.650879,19,0.34037408,0.6069336,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
952,1,0.16357422,0.8171259,0.6542679,0.63,0.27,0.8702101,0,0.63,0.63,0,16.645996,19,0.34037408,0.60498047,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
960,1,0.16357422,0.81632316,0.65288335,0.63,0.27,0.8688725,0,0.63,0.63,0,16.661621,19,0.34037408,0.6015625,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
968,1,0.16308594,0.8155998,0.6514565,0.63,0.27,0.8681319,0,0.63,0.63,0,16.62207,19,0.34037408,0.60009766,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
976,1,0.16503906,0.8146289,0.65087616,0.63,0.27,0.86424243,0,0.63,0.63,0,16.621582,19,0.34037408,0.59716797,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
984,1,0.16503906,0.8137816,0.65079963,0.63,0.27,0.8600724,0,0.63,0.63,0,16.63086,19,0.34037408,0.59521484,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
992,1,0.16503906,0.8127003,0.6495594,0.63,0.27,0.85834336,0,0.63,0.63,0,16.672852,19,0.34037408,0.5932617,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
1000,1,0.17089844,0.81197566,0.648217,0.63,0.27,0.8585132,0,0.63,0.63,0,16.629883,19,0.34037408,0.59277344,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
1008,1,0.1694336,0.8113004,0.64780235,0.63,0.27,0.8556213,0,0.63,0.63,0,16.668945,19,0.34037408,0.58740234,0.7396957,0.00060489646,0.8124299,0.00088901626,0.9167453,0.0009906472
