%  label: Fitness-sharing, 17/03/26 01-41-05
%  population_size: 2048
%  mutation_rate: 0.45
%  max_iterations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0.1
%  cuckoo_rate: 0.15
%  threads: 4
%  num_demes: 1
%  migration: 0.05
%  use_viscosity: true
%  outregs: [4, 5, 6]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd
%  fitness_sharing: true
%  fatal_crash: false

ITERATION,SEASON,AVG-GEN,AVG-FIT,AVG-ABFIT,MIN-FIT,MIN-ABFIT,CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
157,1,0.18164063,0.5920582,0.6669593,0.21144292,0.38666666,0.25099602,0,0.21144292,0.38666666,0,15.841309,5,0.8774414
158,1,0.18261719,0.5936302,0.66695815,0.21144292,0.38666666,0.25396827,0,0.21144292,0.38666666,0,15.845703,5,0.8769531
159,1,0.18457031,0.5952112,0.666957,0.21144292,0.38666666,0.256917,0,0.21144292,0.38666666,0,15.848633,5,0.87646484
160,1,0.18554688,0.59459406,0.6669559,0.21144292,0.38666666,0.2559055,0,0.21144292,0.38666666,0,15.841797,5,0.87597656
161,1,0.18652344,0.594041,0.6669537,0.21144292,0.38666666,0.25390625,0,0.21144292,0.38666666,0,15.847656,5,0.875
162,1,0.18701172,0.5954936,0.6669515,0.21144292,0.38666666,0.25581396,0,0.21144292,0.38666666,0,15.857422,5,0.87402344
163,1,0.18798828,0.5954219,0.6669504,0.21144292,0.38666666,0.25482625,0,0.21144292,0.38666666,0,15.858887,5,0.87353516
164,1,0.18798828,0.5953277,0.66694933,0.21144292,0.38666666,0.25384617,0,0.21144292,0.38666666,0,15.862793,5,0.8730469
165,1,0.18896484,0.5952571,0.66694826,0.21144292,0.38666666,0.25287357,0,0.21144292,0.38666666,0,15.86084,5,0.8725586
166,1,0.1899414,0.5935927,0.66694725,0.21144292,0.38666666,0.24809161,0,0.21144292,0.38666666,0,15.846191,5,0.8720703
167,1,0.19091797,0.5910209,0.6669462,0.21144292,0.38666666,0.243346,0,0.21144292,0.38666666,0,15.852051,5,0.87158203
168,1,0.19189453,0.5915246,0.6669462,0.21144292,0.38666666,0.243346,0,0.21144292,0.38666666,0,15.876953,5,0.87158203
169,1,0.1928711,0.59197104,0.66694516,0.21144292,0.38666666,0.24242425,0,0.21144292,0.38666666,0,15.869141,5,0.87109375
170,1,0.19384766,0.5918578,0.6669431,0.21144292,0.38666666,0.24060151,0,0.21144292,0.38666666,0,15.868652,5,0.8701172
171,1,0.19482422,0.5917463,0.66694105,0.21144292,0.38666666,0.23880596,0,0.21144292,0.38666666,0,15.844238,5,0.8691406
172,1,0.19677734,0.59169114,0.66694003,0.21144292,0.38666666,0.23791821,0,0.21144292,0.38666666,0,15.854004,5,0.86865234
173,1,0.1977539,0.592127,0.6669391,0.21144292,0.38666666,0.23703703,0,0.21144292,0.38666666,0,15.864746,5,0.86816406
